Date,Open,High,Low,Close,Volume
2022-04-27,408.590695424813,414.30665676969915,395.00936624056766,397.3395080566406,787200
2022-04-28,405.68985068835354,417.40708146584853,401.828495163297,412.1761779785156,616300
2022-04-29,407.7822496410117,411.3297349288662,399.98343597204376,400.6396789550781,631900
2022-05-02,398.3476206586117,405.3094856340229,390.8151348036255,403.01739501953125,744800
2022-05-03,404.20621618564263,412.75635721195465,403.3122048208283,410.77813720703125,674500
2022-05-04,410.7210341719799,413.11772857783626,392.82182666456004,411.5674743652344,622900
2022-05-05,406.99291164868595,407.5730816273805,385.4035587164598,395.69415283203125,774400
2022-05-06,390.56786186830624,392.2702916249946,375.6835668313072,385.7649230957031,855900
2022-05-09,376.1400161966225,380.56253080282943,357.993548180908,360.53289794921875,1276100
2022-05-10,369.9486302529558,375.9879245709352,361.73134017563285,369.863037109375,824500
2022-05-11,368.15103135838723,380.99052338958893,365.896991845712,368.44586181640625,785400
2022-05-12,362.21861650194603,376.0367863553111,361.93253807955176,369.9907531738281,655400
2022-05-13,377.27649298093036,391.83849562893556,376.39916642961856,389.21600341796875,675900
2022-05-16,383.2749351237807,385.0486798886675,377.59128625346347,381.4534912109375,696900
2022-05-17,394.7566564123847,394.7566564123847,378.98354787830374,388.8441162109375,679600
2022-05-18,381.7109109308706,387.0322027210011,379.69875800234263,380.97662353515625,894700
2022-05-19,377.2479238153849,394.25122771842683,376.6852834665683,391.00885009765625,823300
2022-05-20,395.4527786861088,398.2564638296721,388.5866341508708,397.703369140625,670400
2022-05-23,400.19231895145936,400.67868138148884,391.6668325687749,398.31365966796875,387800
2022-05-24,393.478779997166,397.36962172149174,384.428805657778,395.38604736328125,395000
2022-05-25,393.43105979922854,400.096949081201,391.0088224043251,397.4744567871094,472300
2022-05-26,400.73592592436063,414.42057436138805,399.8204457865455,412.71356201171875,411100
2022-05-27,418.5497521300243,427.5520550165659,418.5497521300243,427.38995361328125,540500
2022-05-31,422.39290789489735,427.9144543841098,418.18738038159336,421.8398132324219,828800
2022-06-01,405.3896418758626,428.92531171515583,405.3896418758626,411.4452209472656,600500
2022-06-02,413.7816044767225,430.96610021128885,411.02561856429924,430.67999267578125,417300
2022-06-03,423.28931346000894,424.1285156290783,415.4885981110807,418.1206359863281,298400
2022-06-06,422.72667463432197,425.4731438871521,415.41229257414454,418.3208923339844,355400
2022-06-07,413.55277036486456,426.0835013383884,413.55277036486456,425.59716796875,233900
2022-06-08,421.2581473001617,426.7510868029009,414.6780804973503,415.3360900878906,273200
2022-06-09,413.5431808877151,416.9095061368022,406.8582295283334,407.2778015136719,239500
2022-06-10,399.4103157204521,399.4103157204521,388.9108304196801,391.03741455078125,477900
2022-06-13,378.34462639425925,379.8799917909741,370.61067102442826,374.7780456542969,955800
2022-06-14,374.83521037384907,379.5080090672483,371.07789176302344,372.8707275390625,525100
2022-06-15,378.60206161930483,385.7066140418449,369.8667748869569,378.9644470214844,436300
2022-06-16,367.1107634422087,370.09564111160984,362.0279094233139,367.8736877441406,679400
2022-06-17,366.4241564680732,377.94406638053687,365.61359120935134,368.7796325683594,742600
2022-06-21,376.5326724292328,383.48466925050303,375.693470237587,381.69183349609375,590100
2022-06-22,376.99994297646117,388.7201075933408,376.99994297646117,382.2830810546875,564900
2022-06-23,386.9367957443097,398.2564208241498,385.39191411826914,397.38861083984375,341700
2022-06-24,400.8408139785386,412.8470870829442,398.4567298851853,412.0269470214844,630800
2022-06-27,415.2978391758967,416.50897233364265,408.7845352454533,409.85260009765625,371400
2022-06-28,409.13743287059043,416.55670130719056,393.3166545279814,393.9651184082031,321600
2022-06-29,394.0986531024583,397.82736418131856,385.6875972908888,396.00592041015625,373400
2022-06-30,391.46661040740133,398.26602293763966,380.8908168000334,393.04010009765625,427900
2022-07-01,391.94335801045145,398.3708383156062,388.80589573069534,398.3517761230469,348500
2022-07-05,393.9079294838344,403.2630736502675,388.15751949985633,402.4429626464844,349700
2022-07-06,405.26573278195923,409.99574799682273,401.7658841412596,406.4768371582031,418300
2022-07-07,405.33242854331644,415.5744439694257,405.33242854331644,415.2978820800781,402400
2022-07-08,412.6944584317032,419.31267750102523,409.62375728108816,413.82928466796875,310400
2022-07-11,410.13874051594854,414.82108515131756,406.2765359391865,411.8266906738281,277400
2022-07-12,411.51194681123866,417.84408767238216,398.8476941915386,400.8312683105469,326200
2022-07-13,393.01147290643144,400.8312800342552,389.702363164382,394.53729248046875,491400
2022-07-14,388.60572609975947,393.60275728941576,385.07726982910583,391.0946960449219,644600
2022-07-15,397.6938040625355,402.9673965077726,395.9295761484774,399.448486328125,584900
2022-07-18,404.5599265104463,408.07883624775576,390.71315027499026,392.9065246582031,359700
2022-07-19,399.04800084708063,407.83095835873985,398.6951319606954,406.3432922363281,982700
2022-07-20,408.6891903655062,415.7937719280643,405.923658901135,414.18212890625,710100
2022-07-21,415.02139811584385,427.8477539265461,413.6004641122781,426.72247314453125,438600
2022-07-22,429.135123221574,430.15551816585537,416.58530145905036,419.50341796875,399600
2022-07-25,420.3997856776976,420.3997856776976,412.4941558698246,418.1396789550781,430700
2022-07-26,414.19169693369463,425.2920067640573,412.26536740723685,422.3548278808594,657400
2022-07-27,427.8476426915248,435.38134114660187,426.57932300469446,431.96734619140625,505700
2022-07-28,434.9618081609399,455.2360678486506,432.1962765361537,452.29888916015625,499700
2022-07-29,453.014092890512,460.88156973271424,452.05091368548744,459.02197265625,657200
