Date,Open,High,Low,Close,Volume
2020-04-13,76.20999908447266,76.20999908447266,72.31999969482422,74.23999786376953,272100
2020-04-14,76.68000030517578,79.70999908447266,75.3239974975586,77.31999969482422,425300
2020-04-15,73.61000061035156,75.80999755859375,72.06500244140625,73.83000183105469,294600
2020-04-16,73.7699966430664,73.7699966430664,68.6449966430664,71.2699966430664,366100
2020-04-17,73.8499984741211,76.79499816894531,72.29000091552734,76.41000366210938,405900
2020-04-20,73.5199966430664,76.5,70.875,71.70999908447266,279100
2020-04-21,69.16999816894531,70.19000244140625,66.01499938964844,68.3499984741211,340300
2020-04-22,70.54000091552734,73.50499725341797,68.62000274658203,72.87000274658203,476700
2020-04-23,73.55999755859375,77.91999816894531,71.35399627685547,73.61000061035156,457900
2020-04-24,73.83999633789062,78.63500213623047,72.87999725341797,77.45999908447266,359100
2020-04-27,78.55000305175781,83.62999725341797,78.2699966430664,83.08000183105469,510300
2020-04-28,86.19999694824219,89.79000091552734,84.55999755859375,86.44000244140625,483500
2020-04-29,90.0,99.29000091552734,88.5,96.73999786376953,1039800
2020-04-30,95.25,95.66000366210938,86.68000030517578,88.62999725341797,565900
2020-05-01,85.08000183105469,86.95999908447266,83.30999755859375,86.1500015258789,437500
2020-05-04,84.47000122070312,86.33499908447266,83.2699966430664,84.55999755859375,386500
2020-05-05,85.75,92.30000305175781,85.75,92.05999755859375,475400
2020-05-06,91.77999877929688,93.02999877929688,89.05000305175781,90.61000061035156,278400
2020-05-07,92.66000366210938,93.37000274658203,88.68000030517578,89.30999755859375,231700
2020-05-08,91.56999969482422,91.9800033569336,88.83000183105469,90.0,347200
2020-05-11,88.5,91.7300033569336,85.90499877929688,91.01000213623047,332400
2020-05-12,90.58999633789062,91.93000030517578,88.19999694824219,88.2699966430664,233100
2020-05-13,87.3499984741211,88.1500015258789,83.61000061035156,85.5,398300
2020-05-14,82.51000213623047,86.25499725341797,80.55000305175781,86.16000366210938,294000
2020-05-15,86.16999816894531,88.77999877929688,85.30999755859375,88.75,208300
2020-05-18,94.29000091552734,98.66999816894531,94.29000091552734,96.1500015258789,429300
2020-05-19,95.08000183105469,97.0199966430664,93.33999633789062,93.36000061035156,340100
2020-05-20,95.62999725341797,97.13999938964844,92.16000366210938,92.55000305175781,376400
2020-05-21,92.55000305175781,96.31999969482422,91.76000213623047,94.98999786376953,436000
2020-05-22,95.23999786376953,97.22000122070312,94.29000091552734,97.0,284300
2020-05-26,101.66999816894531,102.0199966430664,98.91999816894531,99.13999938964844,341200
2020-05-27,101.44000244140625,105.61000061035156,98.94999694824219,105.37000274658203,368800
2020-05-28,106.80000305175781,109.94999694824219,105.6500015258789,105.88999938964844,506700
2020-05-29,104.9800033569336,107.56999969482422,104.0,106.30999755859375,538500
2020-06-01,106.43000030517578,109.51599884033203,105.79000091552734,106.02999877929688,599100
2020-06-02,107.06999969482422,109.9000015258789,106.47000122070312,109.41000366210938,374300
2020-06-03,111.22000122070312,114.30000305175781,110.37000274658203,111.12999725341797,399600
2020-06-04,110.1500015258789,111.25,108.30500030517578,109.77999877929688,271900
