Date,Open,High,Low,Close,Volume
2018-11-05,121.94038255679712,122.43267203162344,118.92818856389226,121.10204315185547,829400
2018-11-06,121.09228324860031,123.7048042023241,119.24987188825614,120.05897521972656,495100
2018-11-07,122.19383001328451,126.75599330577815,121.32623978229556,125.00131225585938,723200
2018-11-08,125.1182993897792,125.87865868974697,122.35954633866662,124.12397766113281,550800
2018-11-09,122.885949968227,124.06548264977408,120.5561280492323,123.77304077148438,587500
2018-11-12,122.74946709864463,123.15596730550898,117.46593869499075,119.50331115722656,747000
2018-11-13,120.24419461857676,123.13941479869344,118.61624498482418,120.58538055419922,556400
2018-11-14,121.7941473111226,123.15596800751263,119.0938887724631,119.82500457763672,569700
2018-11-15,119.40584204737134,122.61300456273098,119.0900024303256,121.56019592285156,727000
2018-11-16,119.80552046741357,122.55451580477508,118.96717368591442,120.50739288330078,933100
2018-11-19,119.40582750433332,119.80550770196403,110.19377162060928,110.33024597167969,957800
2018-11-20,107.23032365765488,111.82173025997544,104.75427710981182,111.12960815429688,1178500
2018-11-21,113.41068961244879,117.77789165963028,112.10443283453932,117.01753234863281,707600
2018-11-23,115.61377829383262,118.5382415260744,115.22384837540814,116.14993286132812,404700
2018-11-26,118.83071298951508,120.15939335439478,117.25247415788436,119.73729705810547,517800
2018-11-27,118.34328468432167,119.16700971532137,117.06626396808232,118.43101501464844,450400
2018-11-28,120.63409924806614,127.25312732057563,120.24416935899742,126.77547454833984,600700
2018-11-29,126.112598439355,129.81692152061163,125.43996951379604,128.06224060058594,536500
2018-11-30,128.32546447627365,129.93391353530654,127.68207890282393,129.42701721191406,686700
2018-12-03,132.59515866508374,132.59515866508374,128.80310551057622,131.33763122558594,456800
2018-12-04,130.17760774001607,132.99484022338484,126.89246527703109,127.70156860351562,553400
2018-12-06,124.23120521157796,130.77224656009025,121.62842718352381,130.2068634033203,643700
2018-12-07,130.02164503968226,131.6203510728205,124.34817901227596,126.37580871582031,708700
2018-12-10,125.3717778245428,129.74385229305562,124.77713618990404,128.40347290039062,600400
2018-12-11,130.52852947068212,131.4448636153309,126.34655381270775,128.30593872070312,709500
2018-12-12,131.113441543497,133.7552133417209,130.67477501139214,131.201171875,489400
2018-12-13,132.11752714480056,133.23856566913898,128.6764092096906,130.00216674804688,441500
2018-12-14,127.72107601016398,129.52448628029396,126.37581801302971,127.33113861083984,575500
2018-12-17,125.75191936332934,126.02486807585625,119.42533263439192,120.24417877197266,637500
2018-12-18,121.98911242728121,123.09065759798645,120.58536765680779,121.72591400146484,435000
2018-12-19,122.24256562296216,124.42616277228623,118.34328128052186,120.53662872314453,400900
2018-12-20,119.53258736906785,121.60408257759613,112.12393973225925,116.54962921142578,764500
2018-12-21,116.84205461422694,117.8168756889745,111.76323770726746,112.11417388916016,840400
2018-12-24,110.74942383902754,113.29370746074251,108.67305760958085,108.7315444946289,541700
2018-12-26,109.11173250193877,117.44645637695533,109.11173250193877,117.19300079345703,486700
2018-12-27,114.88266728226778,118.77220146109978,113.56666026027295,118.6844711303711,395600
2018-12-28,119.57156861209594,120.71210759919273,116.14994421351024,118.18731689453125,336400
2018-12-31,119.48382539006028,120.22664010124615,117.76813812192712,119.3668441772461,597900
2019-01-02,116.86155666632597,118.73321892477642,115.35058834773196,116.68608856201172,596900
2019-01-03,114.90217332203089,116.53012288158236,112.13367734781902,113.56666564941406,728700
2019-01-04,115.95496759277852,121.00454121974208,114.64871088053867,117.97284698486328,586200
2019-01-07,119.01589610973919,121.7259048233568,118.8901463386758,120.98503875732422,634800
2019-01-08,122.98343830005305,124.83559251181568,120.25685899657852,123.93875885009766,488100
2019-01-09,124.89407430505396,126.48108888329934,123.79252914183566,125.23526763916016,410100
2019-01-10,123.8997527654792,126.19058072329497,123.62680406409443,125.37173461914062,302900
2019-01-11,124.660124801183,125.68368253658934,123.84127861285793,124.09473419189453,276200
2019-01-14,122.51552376294813,122.96394060435328,120.61462547467687,121.4334716796875,499200
2019-01-15,122.07685362309823,127.70156828188281,122.07685362309823,127.47736358642578,564900
2019-01-16,128.55940147907776,130.1142422032209,126.82422124532485,128.07199096679688,293400
2019-01-17,127.71131374333021,130.06551515471372,126.8193589342469,128.89085388183594,276800
2019-01-18,130.74298549003043,133.9306542695673,129.90463884960317,132.8096160888672,627400
2019-01-22,131.6983210571434,133.69669217723617,131.11342251615812,133.10205078125,785400
2019-01-23,134.71053097412684,136.48469765168144,133.18005469840313,133.5699920654297,498600
2019-01-24,134.21334273224085,135.0419464986885,131.74704689158415,135.00296020507812,667800
2019-01-25,136.4749285994288,139.51636510549116,135.60245971242674,139.44813537597656,528600
2019-01-28,137.44977378845215,140.43272394605447,135.919297536253,140.37423706054688,634900
2019-01-29,140.88115139491458,141.62201008583324,137.80071310838633,138.1029052734375,900800
2019-01-30,139.56515164471247,142.44087125565375,138.7463053935561,141.8949737548828,349900
2019-01-31,142.2458998664754,145.52129951264317,142.2458998664754,144.5074920654297,454400
2019-02-01,144.32230088979026,147.08104703880144,143.6789152420506,147.0518035888672,539700
2019-02-04,151.30198053169602,152.92992988751004,149.58628597738092,152.03309631347656,862500
2019-02-05,153.0371932766121,154.0802442785355,150.67812763834726,153.00794982910156,1025900
2019-02-06,165.71958758868823,174.70743935258307,162.21998339715802,164.88124084472656,2739400
2019-02-07,162.25896029574207,168.11764430785894,160.96244651830133,163.93565368652344,1268900
2019-02-08,162.57091754854048,171.7634732989928,161.80080055670234,171.52952575683594,962400
2019-02-11,172.07540803810585,172.89425411274075,165.787815528193,167.87393188476562,1128700
